habit,Week_0,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10
Daily,0.2,0.20600000000000002,0.21200000000000002,0.21800000000000003,0.22400000000000003,0.22999999999999998,0.236,0.242,0.248,0.254,0.26
Daily,0.01,0.0103,0.0106,0.010900000000000002,0.011200000000000002,0.0115,0.0118,0.0121,0.0124,0.012700000000000001,0.013000000000000001
Daily,0.75,0.7725,0.795,0.8175000000000001,0.8400000000000001,0.8624999999999999,0.885,0.9075,0.9299999999999999,0.9525,0.9750000000000001
Daily,0.31,0.31930000000000003,0.3286,0.33790000000000003,0.3472,0.3565,0.36579999999999996,0.3751,0.3844,0.3937,0.403
Daily,0.09,0.0927,0.0954,0.0981,0.1008,0.1035,0.10619999999999999,0.1089,0.11159999999999999,0.1143,0.11699999999999999
Daily,0.25,0.2575,0.265,0.2725,0.28,0.2875,0.295,0.3025,0.31,0.3175,0.325
Daily,0.62,0.6386000000000001,0.6572,0.6758000000000001,0.6944,0.713,0.7315999999999999,0.7502,0.7688,0.7874,0.806
Daily,0.69,0.7107,0.7313999999999999,0.7521,0.7728,0.7934999999999999,0.8141999999999999,0.8348999999999999,0.8555999999999999,0.8763,0.8969999999999999
Daily,0.55,0.5665000000000001,0.5830000000000001,0.5995000000000001,0.6160000000000001,0.6325,0.649,0.6655,0.682,0.6985000000000001,0.7150000000000001
Daily,0.07,0.07210000000000001,0.07420000000000002,0.0763,0.07840000000000001,0.0805,0.0826,0.08470000000000001,0.0868,0.0889,0.09100000000000001
Daily,0.14,0.14420000000000002,0.14840000000000003,0.1526,0.15680000000000002,0.161,0.1652,0.16940000000000002,0.1736,0.1778,0.18200000000000002
Daily,0.27,0.2781,0.2862,0.29430000000000006,0.30240000000000006,0.3105,0.3186,0.3267,0.33480000000000004,0.34290000000000004,0.35100000000000003
Daily,0.21,0.2163,0.2226,0.22890000000000002,0.23520000000000002,0.24149999999999996,0.24779999999999996,0.2541,0.26039999999999996,0.2667,0.273
Daily,0.57,0.5871,0.6042,0.6213,0.6384,0.6554999999999999,0.6725999999999999,0.6896999999999999,0.7068,0.7239,0.741
Daily,0.49,0.5047,0.5194,0.5341,0.5488000000000001,0.5635,0.5781999999999999,0.5929,0.6076,0.6223,0.637
Daily,0.5,0.515,0.53,0.545,0.56,0.575,0.59,0.605,0.62,0.635,0.65
Daily,0.46,0.47380000000000005,0.48760000000000003,0.5014000000000001,0.5152000000000001,0.529,0.5428,0.5566,0.5704,0.5842,0.5980000000000001
Daily,0.28,0.28840000000000005,0.29680000000000006,0.3052,0.31360000000000005,0.322,0.3304,0.33880000000000005,0.3472,0.3556,0.36400000000000005
Daily,0.51,0.5253,0.5406000000000001,0.5559000000000001,0.5712,0.5864999999999999,0.6018,0.6171,0.6324,0.6477,0.663
Daily,0.12,0.1236,0.1272,0.1308,0.13440000000000002,0.13799999999999998,0.14159999999999998,0.1452,0.1488,0.1524,0.156
Daily,0.43,0.4429,0.45580000000000004,0.4687,0.48160000000000003,0.49449999999999994,0.5074,0.5203,0.5332,0.5461,0.559
Daily,0.15,0.1545,0.159,0.1635,0.168,0.1725,0.177,0.1815,0.186,0.1905,0.195
Daily,0.13,0.13390000000000002,0.1378,0.14170000000000002,0.1456,0.1495,0.1534,0.1573,0.1612,0.1651,0.169
Daily,0.57,0.5871,0.6042,0.6213,0.6384,0.6554999999999999,0.6725999999999999,0.6896999999999999,0.7068,0.7239,0.741
Daily,0.02,0.0206,0.0212,0.021800000000000003,0.022400000000000003,0.023,0.0236,0.0242,0.0248,0.025400000000000002,0.026000000000000002
Daily,0.34,0.3502,0.36040000000000005,0.37060000000000004,0.3808000000000001,0.391,0.4012,0.41140000000000004,0.42160000000000003,0.4318,0.44200000000000006
Daily,0.47,0.4841,0.4982,0.5123,0.5264,0.5405,0.5546,0.5687,0.5828,0.5969,0.611
Daily,0.72,0.7416,0.7632,0.7848,0.8064,0.828,0.8495999999999999,0.8712,0.8927999999999999,0.9144,0.9359999999999999
Daily,0.33,0.33990000000000004,0.34980000000000006,0.3597,0.36960000000000004,0.3795,0.3894,0.3993,0.4092,0.41910000000000003,0.42900000000000005
Daily,0.1,0.10300000000000001,0.10600000000000001,0.10900000000000001,0.11200000000000002,0.11499999999999999,0.118,0.121,0.124,0.127,0.13
Daily,0.1,0.10300000000000001,0.10600000000000001,0.10900000000000001,0.11200000000000002,0.11499999999999999,0.118,0.121,0.124,0.127,0.13
Daily,0.1,0.10300000000000001,0.10600000000000001,0.10900000000000001,0.11200000000000002,0.11499999999999999,0.118,0.121,0.124,0.127,0.13
Daily,0.52,0.5356000000000001,0.5512,0.5668000000000001,0.5824,0.598,0.6136,0.6292,0.6448,0.6604,0.676
Daily,0.39,0.4017,0.41340000000000005,0.42510000000000003,0.4368000000000001,0.44849999999999995,0.4602,0.4719,0.48360000000000003,0.4953,0.507
Daily,0.35,0.3605,0.371,0.3815,0.392,0.40249999999999997,0.413,0.4235,0.434,0.44449999999999995,0.45499999999999996
Daily,0.45,0.4635,0.47700000000000004,0.49050000000000005,0.5040000000000001,0.5175,0.531,0.5445,0.558,0.5715,0.5850000000000001
Daily,0.2,0.20600000000000002,0.21200000000000002,0.21800000000000003,0.22400000000000003,0.22999999999999998,0.236,0.242,0.248,0.254,0.26
Daily,0.19,0.1957,0.20140000000000002,0.2071,0.21280000000000002,0.21849999999999997,0.22419999999999998,0.2299,0.2356,0.24130000000000001,0.24700000000000003
Daily,0.35,0.3605,0.371,0.3815,0.392,0.40249999999999997,0.413,0.4235,0.434,0.44449999999999995,0.45499999999999996
Daily,0.5,0.515,0.53,0.545,0.56,0.575,0.59,0.605,0.62,0.635,0.65
Daily,0.05,0.051500000000000004,0.053000000000000005,0.05450000000000001,0.05600000000000001,0.057499999999999996,0.059,0.0605,0.062,0.0635,0.065
Daily,0.08,0.0824,0.0848,0.08720000000000001,0.08960000000000001,0.092,0.0944,0.0968,0.0992,0.10160000000000001,0.10400000000000001
