habit,Week_0,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10
Daily,29.0,30.450000000000003,31.900000000000002,33.349999999999994,34.8,36.25,37.7,39.150000000000006,40.599999999999994,42.05,43.5
Daily,57.0,59.85,62.7,65.55,68.39999999999999,71.25,74.10000000000001,76.95,79.8,82.64999999999999,85.5
Daily,69.0,72.45,75.9,79.35,82.8,86.25,89.7,93.15,96.6,100.05,103.5
Daily,109.0,114.45,119.9,125.35,130.79999999999998,136.25,141.70000000000002,147.15,152.6,158.04999999999998,163.5
Daily,122.0,128.1,134.20000000000002,140.29999999999998,146.4,152.5,158.6,164.70000000000002,170.79999999999998,176.9,183.0
Daily,148.0,155.4,162.8,170.2,177.6,185.0,192.4,199.8,207.2,214.6,222.0
Daily,26.0,27.3,28.6,29.9,31.2,32.5,33.800000000000004,35.1,36.4,37.699999999999996,39.0
Daily,40.0,42.0,44.0,46.0,48.0,50.0,52.0,54.0,56.0,58.0,60.0
Daily,68.0,71.4,74.80000000000001,78.19999999999999,81.6,85.0,88.4,91.80000000000001,95.19999999999999,98.6,102.0
Daily,106.0,111.30000000000001,116.60000000000001,121.89999999999999,127.19999999999999,132.5,137.8,143.10000000000002,148.39999999999998,153.7,159.0
Daily,115.0,120.75,126.50000000000001,132.25,138.0,143.75,149.5,155.25,161.0,166.75,172.5
Daily,148.0,155.4,162.8,170.2,177.6,185.0,192.4,199.8,207.2,214.6,222.0
Daily,26.0,27.3,28.6,29.9,31.2,32.5,33.800000000000004,35.1,36.4,37.699999999999996,39.0
Daily,44.0,46.2,48.400000000000006,50.599999999999994,52.8,55.0,57.2,59.400000000000006,61.599999999999994,63.8,66.0
Daily,66.0,69.3,72.60000000000001,75.89999999999999,79.2,82.5,85.8,89.10000000000001,92.39999999999999,95.7,99.0
Daily,96.0,100.80000000000001,105.60000000000001,110.39999999999999,115.19999999999999,120.0,124.80000000000001,129.60000000000002,134.39999999999998,139.2,144.0
Daily,122.0,128.1,134.20000000000002,140.29999999999998,146.4,152.5,158.6,164.70000000000002,170.79999999999998,176.9,183.0
Daily,148.0,155.4,162.8,170.2,177.6,185.0,192.4,199.8,207.2,214.6,222.0
Daily,29.0,30.450000000000003,31.900000000000002,33.349999999999994,34.8,36.25,37.7,39.150000000000006,40.599999999999994,42.05,43.5
Daily,60.0,63.0,66.0,69.0,72.0,75.0,78.0,81.0,84.0,87.0,90.0
Daily,79.0,82.95,86.9,90.85,94.8,98.75,102.7,106.65,110.6,114.55,118.5
Daily,91.0,95.55,100.10000000000001,104.64999999999999,109.2,113.75,118.3,122.85000000000001,127.39999999999999,131.95,136.5
Daily,114.0,119.7,125.4,131.1,136.79999999999998,142.5,148.20000000000002,153.9,159.6,165.29999999999998,171.0
Daily,152.0,159.6,167.20000000000002,174.79999999999998,182.4,190.0,197.6,205.20000000000002,212.79999999999998,220.4,228.0
Daily,28.0,29.400000000000002,30.800000000000004,32.199999999999996,33.6,35.0,36.4,37.800000000000004,39.199999999999996,40.6,42.0
Daily,46.0,48.300000000000004,50.6,52.9,55.199999999999996,57.5,59.800000000000004,62.1,64.39999999999999,66.7,69.0
Daily,74.0,77.7,81.4,85.1,88.8,92.5,96.2,99.9,103.6,107.3,111.0
Daily,109.0,114.45,119.9,125.35,130.79999999999998,136.25,141.70000000000002,147.15,152.6,158.04999999999998,163.5
Daily,127.0,133.35,139.70000000000002,146.04999999999998,152.4,158.75,165.1,171.45000000000002,177.79999999999998,184.15,190.5
Daily,153.0,160.65,168.3,175.95,183.6,191.25,198.9,206.55,214.2,221.85,229.5
Daily,26.0,27.3,28.6,29.9,31.2,32.5,33.800000000000004,35.1,36.4,37.699999999999996,39.0
Daily,43.0,45.15,47.300000000000004,49.449999999999996,51.6,53.75,55.9,58.050000000000004,60.199999999999996,62.35,64.5
Daily,82.0,86.10000000000001,90.2,94.3,98.39999999999999,102.5,106.60000000000001,110.7,114.8,118.89999999999999,123.0
Daily,110.0,115.5,121.00000000000001,126.49999999999999,132.0,137.5,143.0,148.5,154.0,159.5,165.0
Daily,122.0,128.1,134.20000000000002,140.29999999999998,146.4,152.5,158.6,164.70000000000002,170.79999999999998,176.9,183.0
Daily,160.0,168.0,176.0,184.0,192.0,200.0,208.0,216.0,224.0,232.0,240.0
Daily,25.0,26.25,27.500000000000004,28.749999999999996,30.0,31.25,32.5,33.75,35.0,36.25,37.5
Daily,45.0,47.25,49.50000000000001,51.74999999999999,54.0,56.25,58.5,60.75000000000001,62.99999999999999,65.25,67.5
Daily,61.0,64.05,67.10000000000001,70.14999999999999,73.2,76.25,79.3,82.35000000000001,85.39999999999999,88.45,91.5
Daily,102.0,107.10000000000001,112.2,117.3,122.39999999999999,127.5,132.6,137.70000000000002,142.79999999999998,147.9,153.0
Daily,111.0,116.55000000000001,122.10000000000001,127.64999999999999,133.2,138.75,144.3,149.85000000000002,155.39999999999998,160.95,166.5
Daily,143.0,150.15,157.3,164.45,171.6,178.75,185.9,193.05,200.2,207.35,214.5
Daily,28.0,29.400000000000002,30.800000000000004,32.199999999999996,33.6,35.0,36.4,37.800000000000004,39.199999999999996,40.6,42.0
